sample	contig	phylum
ERR315859	k141_659121	Pseudomonadota
ERR315859	k141_226072	Pseudomonadota
ERR315859	k141_269858	Pseudomonadota
ERR315859	k141_831982	Cyanobacteriota
ERR315859	k141_53461	Pseudomonadota
ERR315859	k141_442413	Bacteroidota
ERR315859	k141_313599	Cyanobacteriota
ERR315859	k141_269988	Pseudomonadota
ERR315859	k141_615904	Pseudomonadota
ERR315859	k141_442503	Pseudomonadota
ERR315859	k141_53602	Pseudomonadota
ERR315859	k141_10040	Bacillota
ERR315859	k141_616007	Pseudomonadota
ERR315859	k141_745856	Bacillota
ERR315859	k141_270118	Pseudomonadota
ERR315859	k141_313736	Pseudomonadota
ERR315859	k141_400399	Bacteroidota
ERR315859	k141_270145	Bacillota
ERR315859	k141_529592	Bacillota
ERR315859	k141_572468	Pseudomonadota
ERR315859	k141_226388	Pseudomonadota
ERR315859	k141_572506	Bacteroidota
ERR315859	k141_702059	Euryarchaeota
ERR315859	k141_356087	Planctomycetota
ERR315859	k141_313978	Pseudomonadota
ERR315859	k141_442896	Bacteroidota
ERR315859	k141_486210	Bacillota
ERR315859	k141_54122	Cyanobacteriota
ERR315859	k141_226665	Bacillota
ERR315859	k141_746307	Nitrososphaerota
ERR315859	k141_530007	Pseudomonadota
ERR315859	k141_140668	Bacillota
ERR315859	k141_356360	Cyanobacteriota
ERR315859	k141_486378	Pseudomonadota
ERR315859	k141_660081	Pseudomonadota
ERR315859	k141_443227	Cyanobacteriota
ERR315859	k141_140817	Pseudomonadota
ERR315859	k141_54340	Bacillota
ERR315859	k141_314377	Pseudomonadota
ERR315859	k141_832931	Chlamydiota
ERR315859	k141_486525	Pseudomonadota
ERR315859	k141_530267	Pseudomonadota
ERR315859	k141_54454	Bacillota
ERR315859	k141_702644	Pseudomonadota
ERR315859	k141_616773	Cyanobacteriota
ERR315859	k141_616806	Bacillota
ERR315859	k141_486626	Pseudomonadota
ERR315859	k141_141083	Pseudomonadota
ERR315859	k141_184792	Pseudomonadota
ERR315859	k141_789595	Pseudomonadota
ERR315859	k141_746881	Pseudomonadota
ERR315859	k141_530522	Pseudomonadota
ERR315859	k141_227297	Pseudomonadota
ERR315859	k141_141366	Pseudomonadota
ERR315859	k141_185062	Pseudomonadota
ERR315859	k141_54883	Pseudomonadota
ERR315859	k141_11217	Pseudomonadota
ERR315859	k141_747056	Pseudomonadota
ERR315859	k141_54946	Pseudomonadota
ERR315859	k141_487030	Bacteroidota
ERR315859	k141_357066	Pseudomonadota
ERR315859	k141_271412	Pseudomonadota
ERR315859	k141_443825	Cyanobacteriota
ERR315859	k141_227438	Pseudomonadota
ERR315859	k141_487048	Cyanobacteriota
ERR315859	k141_747192	Pseudomonadota
ERR315859	k141_443859	Bacillota
ERR315859	k141_357128	Pseudomonadota
ERR315859	k141_790049	Pseudomonadota
ERR315859	k141_357159	Pseudomonadota
ERR315859	k141_443984	Pseudomonadota
ERR315859	k141_790106	Pseudomonadota
ERR315859	k141_703418	Pseudomonadota
ERR315859	k141_227746	Pseudomonadota
ERR315859	k141_271744	Pseudomonadota
ERR315859	k141_790283	Bacteroidota
