Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content	kmer_content
SRR5207629_2_up	SRR5207629_2_up.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	128958.0	0.0	15-151	62.0	99.9223307688508	150.79776361295924	pass	fail		pass	pass	warn	pass	warn	pass	pass	pass	warn
SRR5208282_1_t	SRR5208282_1_t.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	73815691.0	0.0	15-151	58.0	98.8337511444357	150.66716767577236	pass	pass		pass	pass	warn	pass	warn	pass	pass	pass	pass
SRR5208282_1_up	SRR5208282_1_up.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1871412.0	0.0	15-151	59.0	99.95567353001024	150.7923952609046	pass	fail		pass	pass	warn	pass	warn	pass	pass	pass	pass
SRR5208282_2_t	SRR5208282_2_t.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	73815691.0	0.0	15-151	58.0	98.79056645445887	150.6605766651971	pass	pass		pass	pass	warn	pass	warn	pass	pass	pass	pass
SRR5208282_2_up	SRR5208282_2_up.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	418015.0	0.0	15-151	58.0	99.96263349375364	150.07276293912898	pass	fail		pass	pass	warn	pass	warn	pass	pass	pass	warn
SRR5210996_1_t	SRR5210996_1_t.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	107896624.0	0.0	15-151	46.0	98.86186681968412	149.70922981797835	pass	pass		pass	pass	warn	pass	warn	pass	pass	pass	pass
SRR5210996_1_up	SRR5210996_1_up.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2659374.0	0.0	15-151	51.0	99.22586150534553	150.03603592424383	pass	fail		pass	pass	fail	pass	warn	pass	pass	pass	warn
SRR5210996_2_t	SRR5210996_2_t.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	107896624.0	0.0	15-151	46.0	99.03761309157282	149.71215185565026	pass	pass		pass	pass	warn	pass	warn	pass	pass	pass	pass
SRR5210996_2_up	SRR5210996_2_up.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	265476.0	0.0	15-151	49.0	99.93203833810998	150.4277524145309	pass	fail		pass	pass	warn	pass	warn	pass	pass	pass	pass
SRR5262247_1_t	SRR5262247_1_t.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	45867451.0	0.0	31-151	63.0	99.53095652108769	150.85692948143117	pass	pass		pass	warn	warn	pass	warn	pass	pass	pass	pass
SRR5262247_1_up	SRR5262247_1_up.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	1114540.0	0.0	31-151	63.0	99.64507604502776	150.96765571446517	pass	fail		pass	warn	warn	pass	warn	pass	pass	pass	fail
SRR5262247_2_t	SRR5262247_2_t.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	45867451.0	0.0	31-151	63.0	99.5559722940598	150.85692948143117	pass	pass		pass	warn	warn	pass	warn	pass	pass	pass	pass
SRR5262247_2_up	SRR5262247_2_up.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	148227.0	0.0	37-151	64.0	99.77123843387	150.90575266314505	pass	fail		pass	warn	warn	pass	warn	pass	warn	pass	warn
SRR9040676_1_t	SRR9040676_1_t.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	105347381.0	0.0	15-151	65.0	62.477602314771985	150.56160244743057	pass	pass		pass	fail	pass	pass	warn	warn	pass	pass	fail
SRR9040676_1_up	SRR9040676_1_up.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	921865.0	0.0	15-151	67.0	85.94160575582399	150.89085495164693	pass	pass		pass	fail	pass	pass	warn	pass	pass	pass	warn
SRR9040676_2_t	SRR9040676_2_t.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	105347381.0	0.0	15-151	65.0	63.60565745465109	150.5591374881925	pass	pass		pass	fail	pass	pass	warn	warn	pass	pass	fail
SRR9040676_2_up	SRR9040676_2_up.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	300390.0	0.0	15-151	67.0	85.44306730729507	148.65136988581511	pass	pass		pass	fail	pass	pass	warn	pass	pass	pass	warn
